X,CH1,
731,-1.28e-01,
732,-1.68e-01,
733,-1.20e-01,
734,-1.52e-01,
735,-1.04e-01,
736,-1.12e-01,
737,-1.52e-01,
738,-1.44e-01,
739,-1.04e-01,
740,-1.04e-01,
741,-1.36e-01,
742,-1.36e-01,
743,-9.60e-02,
744,-8.80e-02,
745,-1.36e-01,
746,-9.60e-02,
747,-1.36e-01,
748,-1.36e-01,
749,-8.80e-02,
750,-8.80e-02,
751,-1.36e-01,
752,-9.60e-02,
753,-1.36e-01,
754,-1.44e-01,
755,-9.60e-02,
756,-1.04e-01,
757,-1.44e-01,
758,-1.36e-01,
759,-8.80e-02,
760,-1.28e-01,
761,-8.80e-02,
762,-1.20e-01,
763,-8.00e-02,
764,-1.20e-01,
765,-8.00e-02,
766,-1.20e-01,
767,-8.00e-02,
768,-1.12e-01,
769,-7.20e-02,
770,-9.60e-02,
771,-4.80e-02,
772,-6.40e-02,
773,-1.20e-01,
774,-8.80e-02,
775,-1.52e-01,
776,-1.20e-01,
777,-2.16e-01,
778,-1.92e-01,
779,-3.12e-01,
780,-2.80e-01,
781,-3.84e-01,
782,-3.60e-01,
783,-4.40e-01,
784,-4.08e-01,
785,-4.80e-01,
786,-4.48e-01,
787,-4.96e-01,
788,-4.96e-01,
789,-4.40e-01,
790,-4.72e-01,
791,-3.92e-01,
792,-4.16e-01,
793,-3.12e-01,
794,-3.52e-01,
795,-2.40e-01,
796,-2.72e-01,
797,-1.84e-01,
798,-2.16e-01,
799,-1.20e-01,
800,-1.44e-01,
801,-3.20e-02,
802,-5.60e-02,
803,4.80e-02,
804,2.40e-02,
805,9.60e-02,
806,6.40e-02,
807,1.20e-01,
808,8.00e-02,
809,1.28e-01,
810,9.60e-02,
811,1.36e-01,
812,1.04e-01,
813,1.52e-01,
814,1.20e-01,
815,1.68e-01,
816,1.60e-01,
817,1.20e-01,
818,1.60e-01,
819,1.20e-01,
820,1.68e-01,
821,1.20e-01,
822,1.60e-01,
823,1.20e-01,
824,1.52e-01,
825,1.04e-01,
826,1.44e-01,
827,9.60e-02,
828,1.28e-01,
829,7.20e-02,
830,1.04e-01,
831,5.60e-02,
832,8.80e-02,
