X,CH1,
465,1.32e-01,
466,1.28e-01,
467,1.48e-01,
468,1.44e-01,
469,1.64e-01,
470,1.60e-01,
471,1.80e-01,
472,1.68e-01,
473,1.84e-01,
474,1.76e-01,
475,1.88e-01,
476,1.80e-01,
477,1.96e-01,
478,1.84e-01,
479,1.92e-01,
480,1.96e-01,
481,1.80e-01,
482,1.88e-01,
483,1.76e-01,
484,1.80e-01,
485,1.60e-01,
486,1.64e-01,
487,1.40e-01,
488,1.48e-01,
489,1.16e-01,
490,1.24e-01,
491,9.20e-02,
492,1.00e-01,
493,6.40e-02,
494,6.80e-02,
495,3.20e-02,
496,4.00e-02,
497,8.00e-03,
498,8.00e-03,
499,-2.40e-02,
500,-1.60e-02,
501,-5.60e-02,
502,-4.80e-02,
503,-8.80e-02,
504,-8.00e-02,
505,-1.20e-01,
506,-1.12e-01,
507,-1.44e-01,
508,-1.36e-01,
509,-1.68e-01,
510,-1.64e-01,
511,-1.88e-01,
512,-1.80e-01,
513,-2.08e-01,
514,-2.00e-01,
515,-2.24e-01,
516,-2.16e-01,
517,-2.36e-01,
518,-2.28e-01,
519,-2.48e-01,
520,-2.36e-01,
521,-2.52e-01,
522,-2.44e-01,
523,-2.60e-01,
524,-2.48e-01,
525,-2.68e-01,
526,-2.68e-01,
527,-2.52e-01,
528,-2.68e-01,
529,-2.52e-01,
530,-2.52e-01,
531,-2.68e-01,
532,-2.52e-01,
533,-2.68e-01,
534,-2.52e-01,
535,-2.68e-01,
536,-2.52e-01,
537,-2.68e-01,
538,-2.68e-01,
539,-2.52e-01,
540,-2.48e-01,
541,-2.64e-01,
542,-2.60e-01,
543,-2.48e-01,
544,-2.48e-01,
545,-2.56e-01,
546,-2.44e-01,
547,-2.56e-01,
548,-2.52e-01,
549,-2.36e-01,
550,-2.48e-01,
551,-2.32e-01,
552,-2.40e-01,
553,-2.28e-01,
554,-2.36e-01,
555,-2.20e-01,
556,-2.32e-01,
557,-2.16e-01,
558,-2.24e-01,
559,-2.08e-01,
560,-2.16e-01,
561,-1.96e-01,
562,-2.04e-01,
563,-1.84e-01,
564,-1.96e-01,
565,-1.76e-01,
566,-1.84e-01,
567,-1.68e-01,
568,-1.76e-01,
569,-1.60e-01,
570,-1.68e-01,
571,-1.48e-01,
572,-1.56e-01,
573,-1.36e-01,
574,-1.48e-01,
575,-1.32e-01,
576,-1.40e-01,
577,-1.20e-01,
578,-1.32e-01,
579,-1.12e-01,
580,-1.20e-01,
581,-1.00e-01,
582,-1.08e-01,
583,-9.20e-02,
584,-1.00e-01,
585,-8.00e-02,
586,-8.80e-02,
587,-6.80e-02,
588,-7.20e-02,
589,-6.00e-02,
590,-6.80e-02,
591,-4.40e-02,
592,-5.20e-02,
593,-3.20e-02,
594,-4.00e-02,
595,-1.60e-02,
596,-2.40e-02,
597,-4.00e-03,
598,-1.60e-02,
599,8.00e-03,
600,0.00e+00,
601,2.00e-02,
602,1.60e-02,
603,3.60e-02,
604,2.80e-02,
605,5.20e-02,
606,4.40e-02,
607,6.80e-02,
608,6.00e-02,
609,8.40e-02,
610,7.60e-02,
611,9.60e-02,
612,9.20e-02,
613,1.12e-01,
614,1.08e-01,
615,1.24e-01,
616,1.16e-01,
617,1.36e-01,
618,1.32e-01,
619,1.52e-01,
620,1.48e-01,
621,1.68e-01,
622,1.60e-01,
623,1.80e-01,
624,1.72e-01,
625,1.88e-01,
626,1.80e-01,
627,1.92e-01,
628,1.92e-01,
629,2.00e-01,
630,1.92e-01,
631,2.00e-01,
632,2.00e-01,
633,1.84e-01,
634,1.96e-01,
635,1.76e-01,
636,1.84e-01,
637,1.60e-01,
638,1.68e-01,
639,1.44e-01,
640,1.52e-01,
641,1.24e-01,
642,1.24e-01,
643,9.60e-02,
644,1.00e-01,
645,6.80e-02,
646,7.20e-02,
647,4.00e-02,
648,4.80e-02,
649,8.00e-03,
650,1.60e-02,
651,-2.40e-02,
652,-1.60e-02,
653,-5.60e-02,
654,-4.80e-02,
655,-8.80e-02,
656,-8.00e-02,
657,-1.16e-01,
658,-1.08e-01,
659,-1.40e-01,
660,-1.32e-01,
661,-1.68e-01,
662,-1.60e-01,
663,-1.88e-01,
664,-1.80e-01,
665,-2.08e-01,
666,-2.00e-01,
667,-2.24e-01,
668,-2.16e-01,
669,-2.36e-01,
670,-2.28e-01,
671,-2.48e-01,
672,-2.36e-01,
673,-2.52e-01,
674,-2.44e-01,
675,-2.60e-01,
676,-2.48e-01,
677,-2.68e-01,
678,-2.68e-01,
679,-2.52e-01,
680,-2.60e-01,
681,-2.68e-01,
682,-2.60e-01,
683,-2.72e-01,
684,-2.72e-01,
685,-2.60e-01,
686,-2.60e-01,
687,-2.72e-01,
688,-2.60e-01,
689,-2.64e-01,
690,-2.68e-01,
691,-2.56e-01,
692,-2.68e-01,
693,-2.52e-01,
694,-2.52e-01,
695,-2.64e-01,
696,-2.48e-01,
697,-2.64e-01,
698,-2.64e-01,
699,-2.48e-01,
700,-2.56e-01,
701,-2.44e-01,
702,-2.52e-01,
703,-2.32e-01,
704,-2.40e-01,
705,-2.28e-01,
706,-2.36e-01,
707,-2.20e-01,
708,-2.32e-01,
709,-2.16e-01,
710,-2.24e-01,
711,-2.04e-01,
712,-2.16e-01,
713,-1.96e-01,
714,-2.04e-01,
715,-1.84e-01,
716,-1.92e-01,
717,-1.80e-01,
718,-1.88e-01,
719,-1.72e-01,
720,-1.80e-01,
721,-1.60e-01,
722,-1.68e-01,
723,-1.52e-01,
724,-1.60e-01,
725,-1.44e-01,
726,-1.52e-01,
727,-1.32e-01,
728,-1.40e-01,
729,-1.24e-01,
730,-1.36e-01,
731,-1.12e-01,
732,-1.20e-01,
733,-1.00e-01,
734,-1.08e-01,
735,-9.20e-02,
736,-1.00e-01,
737,-8.00e-02,
738,-8.80e-02,
739,-6.80e-02,
740,-7.60e-02,
741,-6.00e-02,
742,-6.80e-02,
743,-4.80e-02,
744,-5.20e-02,
745,-3.20e-02,
746,-4.00e-02,
747,-2.00e-02,
748,-3.20e-02,
749,-1.20e-02,
750,-2.00e-02,
751,0.00e+00,
752,-4.00e-03,
753,1.60e-02,
754,8.00e-03,
755,3.20e-02,
756,2.00e-02,
757,4.40e-02,
758,3.60e-02,
759,5.60e-02,
760,4.80e-02,
761,7.20e-02,
762,6.40e-02,
763,8.80e-02,
764,8.00e-02,
765,1.04e-01,
766,9.60e-02,
767,1.20e-01,
768,1.12e-01,
769,1.32e-01,
770,1.24e-01,
771,1.40e-01,
772,1.36e-01,
773,1.56e-01,
774,1.48e-01,
775,1.68e-01,
776,1.64e-01,
777,1.80e-01,
778,1.76e-01,
779,1.88e-01,
780,1.80e-01,
781,1.96e-01,
782,1.84e-01,
783,2.00e-01,
784,1.92e-01,
785,2.00e-01,
786,2.00e-01,
787,1.88e-01,
788,1.96e-01,
789,1.76e-01,
790,1.84e-01,
791,1.60e-01,
792,1.68e-01,
793,1.44e-01,
794,1.48e-01,
795,1.16e-01,
796,1.20e-01,
797,9.20e-02,
798,9.60e-02,
799,6.00e-02,
800,6.80e-02,
801,2.80e-02,
802,3.60e-02,
803,-4.00e-03,
804,4.00e-03,
805,-3.60e-02,
806,-2.80e-02,
807,-6.00e-02,
808,-6.00e-02,
809,-9.20e-02,
810,-8.80e-02,
811,-1.24e-01,
812,-1.16e-01,
813,-1.52e-01,
814,-1.44e-01,
815,-1.80e-01,
816,-1.68e-01,
817,-1.92e-01,
818,-1.84e-01,
819,-2.16e-01,
820,-2.04e-01,
821,-2.32e-01,
822,-2.20e-01,
823,-2.48e-01,
824,-2.36e-01,
825,-2.52e-01,
826,-2.44e-01,
827,-2.56e-01,
828,-2.48e-01,
829,-2.56e-01,
830,-2.48e-01,
831,-2.64e-01,
832,-2.52e-01,
833,-2.68e-01,
834,-2.68e-01,
835,-2.52e-01,
836,-2.68e-01,
837,-2.52e-01,
838,-2.60e-01,
839,-2.52e-01,
840,-2.52e-01,
841,-2.60e-01,
842,-2.52e-01,
843,-2.68e-01,
844,-2.52e-01,
845,-2.68e-01,
846,-2.64e-01,
847,-2.48e-01,
848,-2.56e-01,
849,-2.44e-01,
850,-2.48e-01,
851,-2.44e-01,
852,-2.44e-01,
853,-2.56e-01,
854,-2.52e-01,
855,-2.40e-01,
856,-2.52e-01,
857,-2.32e-01,
858,-2.40e-01,
859,-2.28e-01,
860,-2.36e-01,
861,-2.20e-01,
862,-2.32e-01,
863,-2.16e-01,
864,-2.24e-01,
865,-2.08e-01,
866,-2.16e-01,
867,-1.96e-01,
868,-2.04e-01,
869,-1.84e-01,
870,-1.92e-01,
871,-1.80e-01,
872,-1.88e-01,
873,-1.68e-01,
874,-1.80e-01,
875,-1.60e-01,
876,-1.68e-01,
877,-1.48e-01,
